ticker,buy,open,high,low,p_close,p_open,p_high,p_low,ibov_open,ibov_current,ibov_high,ibov_low,ibov_p_open,ibov_p_close,ibov_p_high,ibov_p_low,sell,take_profit,stop_loss,volume,avg_volume,bands_base,bands_lower,bands_upper,ma_4,ma_9,ma_21,ma_200,sma_4,sma_9,sma_21,sma_200,rsi_2,rsi_14,buy_date,sell_date,buy_day_of_week,profit
BBDC3,14.810000,14.810000,14.810000,14.810000,14.280000,14.290000,14.480000,14.190000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.070000,15.060000,14.190000,1,10079.100000,13.721500,11.458579,15.984421,14.663967,14.465804,13.605738,11.774359,14.705000,14.482222,13.585714,11.629800,65.730478,66.544440,2016.03.28,2016.03.29,1,true
BBDC3,16.550000,16.450000,16.550000,16.400000,16.400000,16.290000,16.540000,16.190000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.240000,17.240000,16.190000,65,5530.300000,15.646500,14.607168,16.685832,16.400757,16.160596,15.863273,14.381471,16.420000,16.130000,15.622381,13.853500,99.853549,69.001025,2016.10.14,2016.10.18,5,true
BBDC3,17.160000,16.970000,17.160000,16.970000,17.080000,16.900000,17.140000,16.890000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.660000,17.640000,16.890000,475,5623.500000,16.196500,14.579475,17.813525,17.062580,16.856171,16.402191,15.164888,17.092500,16.921111,16.137619,15.368250,83.352175,69.169344,2017.01.17,2017.01.23,2,true
BBDC3,17.980000,17.980000,17.980000,17.980000,17.780000,17.820000,17.920000,17.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.160000,18.640000,17.560000,1,5497.200000,17.343000,16.327380,18.358620,17.906929,17.768457,17.285329,15.416078,17.917500,17.827778,17.306667,15.511800,69.249451,68.258664,2017.02.01,2017.02.02,3,false
BBDC3,18.290000,18.270000,18.290000,18.270000,18.280000,18.130000,18.280000,18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.850000,18.840000,18.000000,6,3278.750000,17.873500,16.632996,19.114004,18.265593,18.206882,17.863140,16.813147,18.237500,18.250000,17.832381,16.998350,60.684971,61.141634,2017.07.31,2017.08.02,1,true
BBDC3,18.710000,18.630000,18.710000,18.630000,18.600000,18.510000,18.630000,18.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.050000,19.050000,18.420000,2,3785.650000,18.321000,17.669727,18.972273,18.625922,18.515414,18.171833,16.904611,18.647500,18.488889,18.259048,17.053950,71.144888,63.281685,2017.08.07,2017.08.08,1,true
BBDC3,20.380000,20.100000,20.380000,19.930000,20.170000,20.330000,20.370000,19.990000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.980000,21.130000,19.990000,4370,4316.300000,19.416000,18.153092,20.678908,20.260182,20.010409,19.466045,17.307791,20.290000,19.981111,19.378095,17.269850,72.119612,69.260464,2017.08.29,2017.08.31,2,false
BBDC3,21.030000,20.730000,21.030000,20.700000,20.860000,20.760000,21.020000,20.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.660000,21.720000,20.670000,422,5157.350000,20.316000,19.496893,21.135107,20.881841,20.665299,20.222340,17.665301,20.877500,20.590000,20.252857,17.558600,83.309612,67.546013,2017.09.15,2017.09.27,5,false
BBDC3,20.630000,20.410000,20.630000,20.410000,20.470000,20.410000,20.570000,20.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.170000,21.170000,20.270000,2,4874.500000,19.716000,18.088469,21.343531,20.585986,20.402200,19.952772,18.873965,20.615000,20.533333,19.672381,18.788400,62.744205,66.962127,2018.01.11,2018.01.16,4,true
BBDC3,24.950000,24.950000,24.950000,24.950000,24.530000,24.220000,24.530000,23.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.610000,25.730000,23.930000,1,4701.900000,22.048000,18.821159,25.274841,24.526313,23.698803,22.347507,19.361169,24.752500,23.551111,21.964286,19.119300,79.947014,81.647110,2018.01.31,2018.02.02,3,false
BBDC3,18.990000,18.990000,18.990000,18.990000,18.320000,18.040000,18.320000,17.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.490000,19.480000,17.740000,1,5901.000000,17.383500,15.707203,19.059797,18.570661,18.186104,17.761532,19.817671,18.607500,18.080000,17.318571,20.649800,86.423790,64.253967,2018.07.20,2018.07.24,5,true
BBDC3,20.490000,20.490000,20.490000,20.490000,19.260000,20.140000,20.200000,19.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.250000,22.080000,19.260000,1,7835.050000,18.102500,15.975513,20.229487,19.788606,19.173488,18.485614,19.142485,19.900000,18.977778,18.069048,20.190500,80.627783,68.094965,2018.10.08,2018.10.11,1,false
BBDC3,20.310000,19.990000,20.310000,19.990000,19.990000,20.300000,20.300000,19.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.840000,21.200000,19.850000,673,10881.250000,19.309000,17.261485,21.356515,20.172037,19.991961,19.398961,19.219099,20.210000,20.051111,19.250000,20.219100,70.681835,61.185689,2018.10.22,2018.10.24,1,false
BBDC3,19.920000,19.790000,19.920000,19.790000,19.550000,19.790000,19.890000,19.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.470000,21.270000,19.200000,11,10962.300000,18.684000,16.657107,20.710893,19.766997,19.515298,18.886568,19.166308,19.802500,19.743333,18.602381,20.209250,68.050233,61.234348,2018.10.15,2018.10.29,1,true
BBDC3,20.530000,19.920000,20.530000,19.860000,19.710000,20.310000,20.520000,19.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.140000,22.140000,19.710000,10926,11763.650000,19.678000,18.085749,21.270251,20.212968,20.083132,19.588218,19.246553,20.187500,20.178889,19.594762,20.211850,74.049362,60.944423,2018.10.25,2018.11.01,4,true
BBDC3,22.370000,22.370000,22.370000,22.370000,22.250000,21.690000,22.250000,21.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.730000,23.730000,21.510000,1,12878.150000,21.110500,18.982341,23.238659,22.269027,21.991023,21.173361,19.522000,22.245000,22.157778,21.036190,20.247550,62.482597,62.979723,2018.11.12,2018.11.28,1,true
BBDC3,23.190000,22.430000,23.190000,22.400000,22.390000,22.990000,23.180000,22.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.360000,25.360000,22.090000,6524,13828.550000,22.232500,20.628968,23.836032,22.864295,22.684552,22.071955,19.794002,22.822500,22.685556,22.152857,20.189000,75.757204,62.719070,2018.11.27,2019.01.02,2,true
BBDC3,26.050000,26.050000,26.050000,26.050000,25.920000,25.640000,25.920000,25.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.510000,27.500000,25.130000,1,10590.550000,24.138500,21.941991,26.335009,25.776113,25.215730,24.391849,20.808799,25.760000,25.048889,24.125238,20.274750,84.966627,68.866008,2019.01.09,2019.01.24,3,true
BBDC3,26.860000,26.680000,26.860000,26.540000,26.640000,26.570000,26.850000,26.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.020000,28.010000,26.270000,2180,10746.600000,25.799500,23.358414,28.240586,26.777346,26.593448,25.835013,21.372115,26.827500,26.701111,25.687143,20.438350,67.377847,68.059223,2019.01.23,2019.01.28,3,true
BBDC3,29.220000,29.030000,29.220000,28.940000,28.950000,28.040000,29.210000,27.870000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.860000,31.890000,27.870000,996,11586.050000,27.276500,25.435378,29.117622,28.765641,28.206182,27.197656,21.904503,28.792500,28.127778,27.198571,20.643200,87.051936,72.969608,2019.02.05,2019.02.06,2,false
BBDC3,29.470000,29.330000,29.470000,29.110000,29.450000,28.430000,29.450000,27.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.910000,32.510000,27.920000,879,12949.500000,28.087500,26.434577,29.740423,29.101943,28.721232,27.975824,22.414167,29.035000,28.596667,28.026667,20.901950,85.101768,65.162313,2019.02.15,2019.02.28,5,false
BBDC3,28.210000,27.900000,28.210000,27.860000,27.950000,27.720000,28.200000,27.440000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.430000,29.720000,27.440000,231,11869.800000,27.501000,25.872235,29.129765,28.147522,28.052269,27.358529,22.079062,28.160000,28.185556,27.455238,20.735050,58.933328,60.633804,2019.02.08,2019.03.01,5,false
BBDC3,28.560000,28.560000,28.560000,28.560000,27.650000,27.630000,27.760000,26.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.710000,29.800000,26.740000,1,11235.500000,26.799500,25.241739,28.357261,27.965819,27.524762,26.636960,21.692303,27.960000,27.443333,26.736190,20.550500,85.330265,72.118357,2019.01.31,2019.03.01,4,false
BBDC3,28.170000,28.020000,28.170000,27.730000,27.680000,28.030000,28.160000,27.390000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.380000,29.700000,27.390000,5053,12104.650000,26.280000,23.582431,28.977569,27.933297,27.511234,26.857075,24.682474,27.980000,27.578889,26.266667,23.901350,75.131385,65.534864,2019.06.06,2019.06.10,4,false
BBDC3,28.210000,28.100000,28.210000,28.070000,27.970000,27.920000,28.200000,27.370000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.360000,29.860000,27.370000,17,11575.950000,26.717500,23.949411,29.485589,28.083704,27.802824,27.166248,24.783303,28.112500,28.003333,26.625714,24.048000,69.448644,64.384042,2019.06.11,2019.06.13,2,false
BBDC3,27.240000,27.210000,27.240000,27.110000,27.220000,26.880000,27.220000,26.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.620000,28.400000,26.630000,74,10952.700000,26.658000,25.249716,28.066284,27.169506,27.029462,26.699503,26.024161,27.170000,26.992222,26.582857,26.871900,64.580861,56.338450,2019.09.26,2019.10.01,4,false
BBDC3,19.880000,19.880000,19.880000,19.880000,19.190000,18.810000,19.190000,18.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.220000,21.110000,18.230000,1,21569.050000,17.280500,14.529802,20.031198,19.155618,18.437491,18.581231,25.246358,19.162500,17.957778,17.278571,26.587100,94.452581,53.558697,2020.04.14,2020.04.20,2,false
BBDC3,18.700000,18.280000,18.700000,18.000000,18.310000,18.320000,18.690000,18.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.090000,19.810000,18.130000,8896,17937.700000,17.878000,15.726799,20.029201,18.637405,18.541157,18.584994,24.921730,18.572500,18.844444,17.700952,26.334000,59.812032,48.691486,2020.04.22,2020.04.23,3,false
BBDC3,20.120000,20.120000,20.120000,20.120000,19.460000,19.200000,19.770000,19.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.020000,21.250000,19.030000,1,18730.650000,18.724000,15.596922,21.851078,20.000061,19.832904,19.014968,22.743722,19.912500,20.243333,18.616667,24.498050,63.326504,59.067928,2020.06.16,2020.06.24,2,false
BBDC3,21.040000,20.850000,21.040000,20.700000,20.650000,20.560000,21.030000,20.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.360000,22.330000,20.380000,4396,13248.650000,20.307500,18.979180,21.635820,20.900826,20.774716,20.395119,22.089436,20.887500,20.840000,20.267619,23.594550,70.907339,58.311375,2020.07.27,2020.08.03,1,false
ITSA4,9.760000,9.760000,9.760000,9.760000,9.710000,9.630000,9.710000,9.460000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.450000,10.210000,9.460000,1,23177.700000,8.832500,7.719740,9.945260,9.664464,9.393832,8.923756,7.552980,9.757500,9.347778,8.798571,7.422300,71.376616,78.026203,2018.01.31,2018.02.05,3,false
ITSA4,10.740000,10.610000,10.740000,10.600000,10.590000,10.710000,10.730000,10.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.500000,11.170000,10.510000,1211,26667.600000,10.251500,9.342583,11.160417,10.661322,10.561355,10.246050,8.125198,10.670000,10.543333,10.212857,7.803250,77.500019,68.506460,2018.03.09,2018.03.15,5,false
ITSA4,9.580000,9.510000,9.580000,9.480000,9.420000,9.540000,9.570000,9.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.320000,10.050000,9.330000,5572,31603.850000,9.004000,8.124491,9.883509,9.520474,9.389640,9.094350,8.751286,9.547500,9.453333,8.977143,9.188700,66.048908,63.262698,2018.10.15,2018.10.24,1,false
ITSA4,11.800000,11.790000,11.800000,11.790000,11.790000,11.720000,11.790000,11.460000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.450000,12.450000,11.460000,2,32841.950000,11.422000,11.013755,11.830245,11.736245,11.609566,11.363761,9.731596,11.775000,11.560000,11.407143,9.492650,71.593693,67.536922,2019.01.31,2019.02.06,4,false
ITSA4,12.610000,12.450000,12.610000,12.400000,12.500000,12.590000,12.600000,12.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.410000,12.960000,12.420000,10466,24847.250000,12.289000,11.477757,13.100243,12.573538,12.530316,12.335792,11.331113,12.582500,12.585556,12.259048,11.467150,67.752387,60.505395,2019.09.25,2019.10.01,3,false
